,X1_of_M
0,1
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,0
9,0
10,0
11,0
12,0
13,1
14,1
15,0
16,0
17,0
18,0
19,1
20,0
21,1
22,0
23,0
24,0
25,1
26,1
27,1
28,1
29,0
30,0
31,1
32,0
33,0
34,0
35,1
36,0
37,1
38,1
39,0
40,0
41,1
42,1
43,1
44,0
45,1
46,0
47,1
48,0
49,0
50,1
51,1
52,1
53,1
54,1
55,0
56,1
57,0
58,0
59,0
60,0
61,1
62,1
63,1
64,0
65,0
66,0
67,1
68,0
69,0
70,1
71,0
72,0
73,1
74,1
75,0
76,1
77,1
78,0
79,1
80,0
81,1
82,1
83,0
84,1
85,1
86,1
87,1
88,0
89,1
90,1
91,0
92,0
93,0
94,1
95,1
96,0
97,1
98,0
99,0
100,1
101,0
102,1
103,1
104,1
105,0
106,1
107,1
108,1
109,0
110,0
111,1
112,1
113,0
114,0
115,1
116,0
117,1
118,0
119,1
120,0
121,1
122,1
123,1
124,1
125,1
126,1
